Wall time,Step,Value
1566375358.0920894,212,60.09267807006836
1566375734.8658686,424,66.61183166503906
1566376110.4032705,636,67.52304077148438
1566376491.4417295,848,69.05561828613281
1566376869.0962055,1060,67.73706817626953
1566377245.4769976,1272,71.3199691772461
1566377621.5824149,1484,69.10779571533203
1566378000.6542244,1696,71.21621704101562
1566378375.60696,1908,70.70870971679688
1566378749.08968,2120,71.23409271240234
1566379125.5324864,2332,73.2305908203125
1566379501.937419,2544,72.01097106933594
1566379878.4781137,2756,72.82064056396484
1566380250.8015623,2968,72.49439239501953
1566380626.8733702,3180,72.86885833740234
1566381002.0418262,3392,74.55665588378906
1566381384.3644166,3604,73.70601654052734
1566381775.6516664,3816,74.1824951171875
1566382152.4254043,4028,74.87174224853516
1566382531.2684693,4240,74.0523910522461
1566382907.2936466,4452,75.11494445800781
1566383287.1070702,4664,75.26476287841797
1566383662.4971864,4876,75.23171997070312
1566384041.9689362,5088,75.26659393310547
1566384414.2158678,5300,75.5051040649414
1566384786.3642406,5512,74.96687316894531
1566385160.2639577,5724,75.43216705322266
1566385535.048551,5936,75.31716918945312
1566385907.994057,6148,75.46609497070312
1566386281.8570051,6360,75.41146850585938
1566386655.8546126,6572,75.63201141357422
1566387027.6774497,6784,75.58405303955078
1566387416.125961,6996,75.68016815185547
1566387790.828993,7208,75.6336441040039
1566388164.4375777,7420,75.79487609863281
1566388539.4237986,7632,75.78273010253906
1566388913.7863896,7844,75.74734497070312
1566389131.3363845,7950,75.75520324707031
